mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP,mean_overlapping_bboxes_test,class_acc_test,loss_rpn_cls_test,loss_rpn_regr_test,loss_class_cls_test,loss_class_regr_test,curr_loss_test,elapsed_time_test,mAP_test
11.989,0.9279999999999999,0.045,0.095,0.172,0.32,0.631,10.225,0.0,14.299000000000001,0.927,0.044000000000000004,0.095,0.17300000000000001,0.319,0.631,1.0659999999999998,0.0
13.42,0.922,0.038,0.10099999999999999,0.18899999999999997,0.335,0.662,10.228,0.0,13.708,0.9229999999999999,0.037000000000000005,0.09699999999999999,0.18600000000000003,0.32799999999999996,0.648,0.9990000000000001,0.0
12.612,0.927,0.037000000000000005,0.096,0.177,0.312,0.621,10.059,0.0,12.495,0.927,0.035,0.096,0.175,0.311,0.616,1.065,0.0
11.799000000000001,0.9279999999999999,0.038,0.095,0.166,0.299,0.598,10.086,0.0,12.885,0.9279999999999999,0.035,0.092,0.165,0.29100000000000004,0.583,0.937,0.0
14.065999999999999,0.9209999999999999,0.037000000000000005,0.09300000000000001,0.188,0.313,0.632,9.794,0.0,13.37,0.9209999999999999,0.035,0.092,0.18600000000000003,0.31,0.622,0.976,0.0
14.262,0.919,0.039,0.10099999999999999,0.193,0.32899999999999996,0.662,10.392000000000001,0.0,14.216,0.922,0.039,0.1,0.187,0.32,0.6459999999999999,0.956,0.0
13.876,0.935,0.02,0.07400000000000001,0.16,0.243,0.49700000000000005,9.947000000000001,0.0,13.072000000000001,0.94,0.02,0.071,0.14800000000000002,0.22699999999999998,0.466,1.04,0.0
14.155,0.927,0.034,0.091,0.179,0.29100000000000004,0.594,10.123,0.0,15.155,0.927,0.034,0.092,0.179,0.29100000000000004,0.595,0.992,0.0
13.91,0.922,0.034,0.095,0.184,0.31,0.624,9.785,0.0,14.280999999999999,0.9229999999999999,0.03,0.092,0.183,0.301,0.604,0.991,0.0
13.020999999999999,0.9279999999999999,0.031,0.09300000000000001,0.17600000000000002,0.317,0.617,9.874,0.0,11.443,0.9279999999999999,0.038,0.09300000000000001,0.174,0.314,0.62,0.912,0.0
12.429,0.9259999999999999,0.049,0.092,0.177,0.313,0.631,9.968,0.0,13.845,0.9279999999999999,0.05,0.091,0.172,0.305,0.618,1.041,0.0
13.126,0.927,0.040999999999999995,0.094,0.17600000000000002,0.316,0.627,10.15,0.0,13.707,0.9279999999999999,0.036000000000000004,0.091,0.172,0.308,0.606,0.986,0.0
13.314,0.9279999999999999,0.035,0.086,0.16899999999999998,0.28,0.5710000000000001,9.936,0.0,14.216,0.929,0.037000000000000005,0.085,0.166,0.276,0.564,1.036,0.0
12.767000000000001,0.932,0.028999999999999998,0.085,0.162,0.264,0.54,9.971,0.0,13.165,0.932,0.031,0.083,0.16,0.259,0.5329999999999999,0.976,0.0
13.085,0.93,0.03,0.086,0.172,0.289,0.5760000000000001,9.841000000000001,0.0,11.747,0.93,0.031,0.085,0.17,0.282,0.5670000000000001,0.965,0.0
13.487,0.9279999999999999,0.02,0.08900000000000001,0.171,0.298,0.578,10.507,0.0,13.289000000000001,0.9309999999999999,0.02,0.086,0.166,0.28300000000000003,0.555,0.948,0.0
13.850999999999999,0.948,0.02,0.066,0.13,0.2,0.41600000000000004,9.814,0.0,12.823,0.9490000000000001,0.019,0.066,0.128,0.19899999999999998,0.413,1.056,0.0
13.732999999999999,0.9309999999999999,0.052000000000000005,0.094,0.172,0.325,0.643,10.054,0.0,14.277999999999999,0.932,0.053,0.09300000000000001,0.17,0.321,0.636,0.998,0.0
14.267,0.858,0.0,0.0,0.336,0.847,1.183,9.741,0.0,13.928,0.87,0.0,0.0,0.306,0.724,1.03,0.859,0.0
13.519,0.883,0.0,0.0,0.274,0.616,0.89,8.595,0.0,14.052,0.884,0.0,0.0,0.269,0.594,0.863,0.819,0.0
